pedido_id,cliente_id,producto_id,fecha_pedido,cantidad,monto_total
115,57,10,2023-11-18,8,45.41
116,96,4,2023-11-10,5,415.12
117,50,2,2023-10-05,5,208.24
118,45,6,2024-04-21,9,351.57
119,40,8,2024-06-05,9,122.89
120,38,5,2023-11-11,9,226.59
121,92,4,2024-03-15,3,367.01
122,26,9,2024-06-25,2,357.1
123,79,1,2023-08-26,9,39.36
124,81,3,2023-12-28,1,147.87
125,100,9,2023-08-27,7,283.35
126,96,6,2023-10-27,4,388.28
127,12,5,2023-11-17,10,101.4
128,92,9,2024-05-26,8,381.49
129,54,7,2023-08-05,6,434.85
130,66,10,2024-05-22,4,397.04
131,1,10,2024-04-15,2,220.39
132,97,10,2023-12-14,5,28.89
133,81,1,2024-01-26,5,142.1
134,45,8,2023-12-17,2,454.15
135,87,1,2024-05-18,7,208.98
136,59,3,2023-07-21,3,335.61
137,26,5,2024-04-19,2,26.12
138,90,10,2024-04-20,3,98.88
139,91,8,2024-04-08,10,421.14
140,17,8,2023-08-07,3,40.09
141,33,4,2023-11-02,9,227.33
142,71,3,2023-08-17,4,282.1
143,30,10,2023-12-11,8,406.74
144,87,1,2024-01-14,3,195.25
145,23,10,2024-03-16,3,49.8
146,6,3,2023-07-13,1,468.54
147,68,2,2023-09-05,4,201.41
148,52,7,2024-03-11,7,144.53
149,2,4,2024-03-04,5,11.28
150,23,10,2024-05-21,4,87.66
151,89,4,2024-01-05,1,131.6
152,88,5,2023-09-14,3,169.53
153,44,9,2024-05-08,10,327.1
154,77,9,2023-08-09,3,96.54
155,54,10,2024-03-20,3,36.31
156,11,3,2023-09-19,4,411.17
157,56,10,2024-02-06,6,430.41
158,4,9,2024-01-21,3,107.52
159,66,2,2023-12-15,2,80.39
160,55,4,2024-05-05,9,163.44
161,85,4,2024-03-18,4,57.98
162,10,7,2024-05-21,8,88.43
163,19,7,2024-06-12,9,451.35
164,6,9,2024-04-25,8,89.22
165,60,10,2024-05-17,10,240.46
166,11,1,2024-03-19,1,138.01
167,16,6,2023-10-03,2,172.05
168,42,10,2023-10-03,10,122.83
169,26,3,2024-03-12,10,49.09
170,15,9,2024-02-27,4,366.23
171,30,2,2024-02-02,8,397.06
172,24,8,2023-09-22,8,299.62
173,33,7,2023-07-28,5,434.78
174,28,5,2023-12-02,10,197.29
175,44,1,2024-05-18,6,484.9
176,1,7,2024-06-16,2,151.6
177,17,7,2023-10-31,4,429.26
178,71,8,2024-05-07,8,397.28
179,7,8,2024-05-23,5,331.61
180,99,3,2024-04-01,4,99.27
181,62,10,2023-12-22,6,161.99
182,30,7,2023-12-29,1,233.16
183,31,2,2024-01-27,4,23.71
184,29,2,2023-12-24,10,101.98
185,78,6,2023-10-22,5,294.22
186,32,3,2023-10-16,8,81.84
187,36,4,2024-06-14,10,477.02
188,81,7,2024-01-17,8,298.61
189,42,4,2024-02-22,10,292.07
190,94,2,2024-03-15,10,492.21
191,83,5,2024-03-21,9,318.41
192,34,3,2024-05-15,8,436.66
193,61,10,2023-07-26,7,6.54
194,51,2,2023-07-10,4,86.25
195,28,5,2023-10-22,3,356.91
196,21,4,2024-03-19,2,150.56
197,47,1,2023-07-07,1,209.98
198,78,4,2024-01-10,3,158.98
199,68,10,2023-11-06,6,406.54
200,61,5,2024-02-13,5,171.69
201,80,9,2024-06-05,7,363.56
202,23,9,2024-04-20,6,184.82
203,17,2,2023-08-06,4,273.14
204,20,8,2023-11-20,8,242.58
205,77,5,2023-10-25,2,304.72
206,79,9,2023-11-05,10,33.84
207,63,10,2024-05-16,7,377.13
208,53,7,2023-12-23,1,437.25
209,82,7,2023-11-22,8,72.21
210,32,8,2024-04-20,5,435.5
211,92,7,2023-08-11,8,130.31
212,51,2,2024-02-01,1,481.38
213,5,6,2023-10-17,2,402.95
214,41,3,2024-04-11,2,225.98
215,66,6,2024-05-24,9,245.49
216,30,9,2023-10-29,4,360.69
217,83,10,2023-08-14,8,431.96
218,72,8,2023-12-11,7,436.48
219,100,4,2023-09-22,5,235.92
220,98,5,2024-06-10,6,38.88
221,27,10,2023-11-08,7,114.72
222,97,1,2023-11-08,6,186.22
223,86,10,2023-11-25,10,257.52
224,90,9,2024-03-28,8,271.31
225,68,1,2023-10-02,4,188.6
226,62,7,2024-02-28,2,215.48
227,74,8,2024-04-11,5,342.4
228,46,2,2024-01-04,8,352.9
229,81,9,2024-05-20,7,419.75
230,76,3,2023-08-26,8,343.5
231,58,10,2024-03-15,3,401.62
232,85,9,2023-09-30,1,402.02
233,23,5,2023-08-10,10,64.31
234,96,7,2023-09-25,7,221.52
235,63,2,2023-08-01,9,450.88
236,71,6,2023-11-11,9,460.06
237,9,10,2023-08-24,2,51.48
238,8,8,2023-12-27,2,208.24
239,56,10,2024-05-10,7,164.55
240,33,4,2024-02-01,10,496.55
241,76,10,2023-07-22,4,202.38
242,30,6,2023-10-17,10,432.42
243,14,7,2024-05-16,9,356.28
244,60,8,2023-09-04,6,186.45
245,14,5,2023-09-01,4,380.03
246,27,10,2024-01-03,3,139.07
247,12,7,2023-09-14,3,222.05
248,96,9,2024-03-21,9,191.84
249,69,6,2023-08-02,7,103.1
250,33,10,2023-07-18,8,328.06
251,17,2,2024-03-27,6,349.74
252,78,10,2024-01-28,7,274.02
253,98,10,2024-04-27,8,422.29
254,81,9,2023-12-21,6,192.44
255,42,5,2023-10-09,9,462.14
256,24,5,2023-10-30,2,310.52
257,53,4,2024-02-15,9,126.91
258,35,2,2023-12-09,7,362.97
259,86,6,2024-06-01,3,287.14
260,32,10,2023-11-09,2,14.29
261,82,7,2023-10-15,8,210.93
262,80,10,2023-11-21,1,205.37
263,60,4,2024-04-06,6,267.13
264,59,6,2023-10-30,2,364.1
265,42,6,2024-01-30,5,174.7
266,2,1,2023-11-05,2,394.15
267,76,3,2023-10-27,7,136.86
268,78,10,2023-11-06,10,139.88
269,89,8,2024-02-23,4,338.72
270,88,4,2024-02-10,9,12.67
271,6,5,2023-09-06,3,299.43
272,4,1,2024-03-24,2,354.45
273,77,5,2023-12-06,10,241.16
274,25,7,2023-12-14,9,158.45
275,27,2,2023-12-01,10,446.21
276,48,2,2023-09-09,1,265.11
277,35,10,2024-01-02,5,171.08
278,94,7,2023-08-31,1,304.95
279,97,8,2023-08-28,4,337.14
280,87,9,2023-08-20,2,16.74
281,28,9,2023-10-27,1,32.05
282,50,1,2023-09-27,7,76.1
283,5,7,2023-12-25,5,109.06
284,75,1,2024-02-23,7,329.0
285,45,8,2023-09-22,10,342.48
286,13,9,2024-05-02,3,412.54
287,13,3,2023-07-08,3,463.96
288,85,3,2024-06-25,4,173.86
289,25,2,2023-08-06,8,174.59
290,31,10,2023-11-26,2,194.44
291,23,5,2024-01-25,9,399.65
292,74,9,2023-12-29,6,467.99
293,39,10,2024-02-09,3,444.81
294,60,9,2023-07-30,3,206.94
295,73,6,2024-06-22,1,11.46
296,21,2,2024-02-13,8,265.37
297,35,8,2023-10-13,5,259.51
298,14,10,2024-03-06,9,286.41
299,88,9,2023-08-06,4,91.93
300,75,1,2023-07-19,7,345.52
301,48,1,2023-08-15,10,174.57
302,93,2,2023-11-09,6,271.22
303,51,4,2023-12-21,10,25.22
304,54,2,2023-09-05,5,120.37
305,82,6,2023-08-03,4,279.05
306,8,9,2023-07-22,9,271.86
307,5,7,2024-02-02,5,41.64
308,61,10,2024-04-02,10,315.29
309,28,4,2024-05-19,4,339.83
310,69,2,2023-11-02,7,151.68
311,46,4,2023-08-05,8,464.29
312,38,10,2024-02-08,8,335.55
313,34,7,2024-05-31,3,445.55
314,98,9,2024-04-15,8,266.73
315,81,2,2024-03-21,10,490.76
316,58,5,2024-03-22,6,64.0
317,70,9,2023-08-05,5,21.07
318,24,9,2024-03-10,9,195.85
319,37,5,2023-12-13,4,288.09
320,56,4,2023-10-13,2,157.15
321,52,1,2024-02-28,3,368.15
322,65,10,2023-10-29,1,467.04
323,68,8,2023-08-09,1,66.07
324,61,3,2023-11-07,10,197.03
325,5,5,2023-11-12,2,133.75
326,1,2,2024-05-06,9,348.52
327,31,10,2023-11-09,4,410.68
328,49,9,2023-11-06,4,41.81
329,53,1,2023-11-04,6,191.11
330,52,6,2024-02-24,10,184.32
331,17,6,2024-03-25,6,53.2
332,14,1,2023-08-19,6,215.71
333,91,9,2024-01-08,1,258.78
334,78,10,2024-02-09,2,364.74
335,73,8,2024-02-28,3,253.14
336,90,3,2023-12-23,5,302.7
337,99,6,2024-01-21,7,256.26
338,28,5,2023-08-25,10,184.46
339,39,1,2024-03-19,9,478.54
340,95,4,2023-10-08,1,207.84
341,93,2,2023-07-25,7,386.12
342,35,9,2024-03-22,7,54.46
343,15,3,2024-05-06,9,454.15
344,16,5,2023-12-19,4,195.37
345,10,6,2023-09-01,2,243.87
346,8,5,2023-10-20,6,211.16
347,57,9,2024-06-17,2,226.31
348,78,10,2023-10-26,1,87.11
349,76,9,2024-02-22,7,313.39
350,47,9,2024-01-02,7,111.98
351,58,7,2024-05-30,9,483.08
352,90,4,2023-12-19,2,371.27
353,9,3,2024-03-16,6,83.65
354,27,6,2024-06-21,6,375.77
355,94,1,2023-07-05,6,428.25
356,52,1,2023-08-07,2,359.48
357,37,10,2024-05-02,9,89.37
358,74,6,2023-09-06,2,119.66
359,98,1,2024-02-24,10,281.75
360,28,3,2023-08-06,8,324.71
361,99,9,2023-11-03,3,184.91
362,25,10,2023-11-10,9,186.33
363,56,8,2024-01-17,9,409.18
364,49,4,2023-08-22,8,318.02
365,98,1,2023-11-14,9,169.01
366,60,10,2023-07-08,5,21.03
367,55,2,2024-06-07,8,108.2
368,2,5,2024-01-15,8,493.12
369,48,8,2024-05-19,1,217.77
370,57,4,2024-03-12,4,122.52
371,69,10,2023-09-03,4,110.72
372,74,8,2023-08-31,2,418.73
373,16,5,2023-10-07,1,325.43
374,11,9,2023-08-21,1,186.15
375,91,3,2023-10-17,2,394.04
376,85,3,2023-12-26,2,392.65
377,38,5,2023-12-16,2,67.03
378,96,2,2023-08-25,7,153.07
379,65,3,2023-11-22,6,160.71
380,49,5,2024-01-05,8,246.07
381,81,6,2024-06-21,3,323.23
382,17,6,2023-10-06,2,41.64
383,28,5,2023-11-06,8,358.44
384,94,5,2024-01-08,6,226.72
385,50,7,2023-11-24,2,391.91
386,45,4,2024-05-21,1,432.96
387,68,10,2024-03-05,2,6.51
388,38,3,2023-11-06,1,492.76
389,19,5,2023-12-13,6,211.0
390,86,3,2024-02-24,8,207.68
391,69,8,2023-11-30,2,21.36
392,4,9,2024-02-14,4,379.54
393,52,1,2024-06-22,10,411.09
394,69,7,2024-06-13,8,12.92
395,61,10,2024-03-17,7,477.14
396,84,10,2023-11-06,8,164.63
397,51,6,2024-06-21,5,481.26
398,18,4,2023-09-27,6,313.56
399,8,6,2024-02-14,10,468.33
400,86,5,2023-11-22,3,169.87
401,88,5,2023-09-28,10,414.01
402,14,8,2023-11-12,1,306.8
403,30,1,2024-05-03,9,241.66
404,70,2,2023-11-29,8,285.3
405,41,6,2023-08-23,6,73.31
406,82,9,2024-06-12,2,490.31
407,60,4,2023-11-17,6,300.91
408,39,4,2024-04-21,10,177.77
409,83,4,2024-04-17,4,432.34
410,22,3,2023-08-09,7,454.12
411,83,7,2024-04-02,7,276.3
412,21,7,2024-02-24,3,246.71
413,15,8,2024-02-28,8,20.88
414,68,6,2024-03-09,2,298.33
415,73,6,2024-04-17,4,41.93
416,61,8,2023-11-18,4,486.43
417,35,4,2024-03-11,4,15.64
418,40,3,2024-01-21,1,445.0
419,14,7,2023-10-25,5,361.41
420,28,9,2023-11-23,1,120.05
421,89,10,2024-03-06,8,291.48
422,83,1,2023-12-24,10,208.82
423,38,4,2024-06-27,9,335.9
424,37,4,2023-10-24,8,349.63
425,20,8,2024-03-14,1,39.84
426,39,6,2023-10-18,1,146.97
427,5,9,2023-08-19,9,424.83
428,38,7,2023-09-09,5,337.47
429,40,1,2024-05-11,7,494.54
430,25,3,2024-06-10,7,243.21
431,89,9,2024-04-15,2,474.39
432,73,9,2023-10-20,5,455.83
433,3,10,2024-02-27,3,308.79
434,6,3,2023-11-15,6,113.11
435,27,5,2024-04-07,2,333.38
436,70,8,2024-06-14,3,371.77
437,90,6,2023-10-04,9,157.56
438,48,1,2023-07-08,9,172.1
439,24,2,2024-01-25,1,184.38
440,58,6,2023-11-14,2,89.26
441,65,10,2023-08-29,4,379.99
442,81,10,2024-03-28,4,74.74
443,83,5,2023-10-10,5,361.9
444,31,3,2023-10-28,1,411.83
445,53,9,2023-12-04,1,165.07
446,90,1,2023-12-17,3,305.13
447,44,2,2023-10-04,6,361.58
448,35,3,2024-03-23,2,341.08
449,15,10,2024-01-18,8,46.98
450,90,6,2023-12-09,2,30.75
451,94,1,2023-10-30,9,149.08
452,23,2,2024-03-17,2,349.25
453,42,1,2024-04-18,6,161.9
454,77,7,2023-12-28,4,122.66
455,83,2,2023-12-16,8,250.8
456,17,4,2023-12-16,2,280.13
457,6,6,2024-02-23,8,16.12
458,66,9,2024-05-03,10,257.86
459,22,3,2023-12-11,8,68.71
460,29,10,2023-08-25,7,384.78
461,81,6,2023-12-07,3,400.19
462,32,8,2024-03-31,9,164.77
463,12,2,2023-07-04,6,319.47
464,34,4,2023-12-24,8,499.82
465,31,1,2024-03-17,8,376.12
466,71,8,2024-04-16,1,231.71
467,41,8,2023-11-27,7,454.86
468,34,7,2024-03-10,6,211.89
469,75,10,2024-02-22,1,276.95
470,15,5,2023-09-18,6,391.8
471,49,8,2024-02-02,5,100.26
472,80,10,2024-06-05,9,175.2
473,90,6,2024-03-05,8,368.09
474,75,1,2023-08-16,10,320.38
475,86,7,2024-02-09,3,222.63
476,85,1,2024-06-12,8,301.47
477,64,2,2024-04-07,1,389.26
478,54,7,2023-09-25,6,418.28
479,20,4,2023-09-04,10,368.02
480,8,7,2024-04-12,4,388.19
481,2,4,2024-01-07,1,235.95
482,13,10,2023-10-16,5,78.08
483,33,5,2023-09-18,1,37.82
484,12,9,2024-02-14,9,276.97
485,6,9,2023-09-12,2,444.69
486,18,7,2024-05-06,4,56.65
487,72,3,2024-06-29,9,462.16
488,29,1,2023-12-08,10,140.53
489,6,9,2023-10-20,4,479.01
490,33,8,2023-09-26,1,398.14
491,44,1,2024-01-15,6,272.08
492,86,4,2024-06-20,7,385.36
493,1,10,2024-02-09,3,215.84
494,98,2,2023-11-02,10,230.61
495,62,10,2023-08-30,8,193.2
496,46,10,2023-11-10,9,403.93
497,40,8,2023-11-23,10,15.55
498,86,3,2023-09-28,4,46.42
499,97,10,2024-06-14,10,479.1
500,70,7,2024-03-07,7,362.45
